AircraftFamily,fleet_count,age_mean,age_median,age_min,age_max,build_year_min,build_year_max,build_year_mean,order_year_min,order_year_max,order_year_mean,lease_start_year_median,num_operators,num_owners,num_countries_operated_for,age_0_8_count,age_0_8_share,age_8_15_count,age_8_15_share,age_15_20_count,age_15_20_share,age_20_30_count,age_20_30_share,age_30_plus_count,age_30_plus_share,age_15_25_count,age_15_25_share,age_25_plus_count,age_25_plus_share,share_owned,share_leased,share_operating_lease,share_finance_lease,share_gov_mil,share_commercial
144 Family,16,49.52292950034223,50.0123203285421,41.04312114989733,55.80287474332649,1969.0,1984.0,1975.75,1970.0,1970.0,1970.0,1975.5,7,6,2,0,0.0,0,0.0,0,0.0,0,0.0,16,1.0,0,0.0,16,1.0,0.875,0.125,0.125,0.0,0.4375,0.0
146 Family,436,33.3756460009168,33.98904859685147,23.48528405201916,44.1286789869952,1981.0,2002.0,1991.9747706422017,1980.0,2000.0,1990.453488372093,2013.0,143,149,42,0,0.0,0,0.0,0,0.0,129,0.2958715596330275,307,0.7041284403669725,18,0.04128440366972477,418,0.9587155963302753,0.9288990825688074,0.07110091743119266,0.06192660550458716,0.0022935779816513763,0.04128440366972477,0.6720183486238532
2000 Family,63,29.61016046847669,29.71663244353183,26.50239561943874,33.5687885010267,1992.0,1999.0,1995.7460317460318,1989.0,1997.0,1992.45,2021.0,16,14,8,0,0.0,0,0.0,0,0.0,36,0.5714285714285714,27,0.42857142857142855,0,0.0,63,1.0,0.7619047619047619,0.23809523809523808,0.14285714285714285,0.0,0.2698412698412698,0.3968253968253968
204 Family,92,20.133499985120373,18.88021902806297,0.813141683778234,36.79671457905544,1989.0,2024.0,2005.1739130434783,1990.0,2019.0,2003.7701149425288,2016.0,24,23,5,6,0.06521739130434782,18,0.1956521739130435,27,0.29347826086956524,27,0.29347826086956524,14,0.15217391304347827,44,0.4782608695652174,24,0.2608695652173913,0.8478260869565217,0.15217391304347827,0.14130434782608695,0.0,0.33695652173913043,0.33695652173913043
328 Family (Jet),122,23.563716744650527,24.79945242984257,8.0,27.74811772758385,1998.0,2018.0,2002.0409836065573,1997.0,2006.0,1998.7931034482758,2012.0,54,55,20,0,0.0,10,0.08196721311475409,2,0.01639344262295082,110,0.9016393442622951,0,0.0,58,0.47540983606557374,54,0.4426229508196721,0.860655737704918,0.13934426229508196,0.13934426229508196,0.0,0.02459016393442623,0.5573770491803278
328 Family (Turboprop),117,28.81068463820004,30.13552361396304,8.0,33.96851471594798,1991.0,2018.0,1996.5470085470085,1991.0,2000.0,1993.882882882883,2012.0,49,47,20,0,0.0,6,0.05128205128205128,0,0.0,48,0.41025641025641024,63,0.5384615384615384,0,0.0,111,0.9487179487179487,0.8974358974358975,0.10256410256410256,0.07692307692307693,0.008547008547008548,0.1794871794871795,0.452991452991453
428 Family,39,8.0,8.0,8.0,8.0,2018.0,2018.0,2018.0,2000.0,2000.0,2000.0,,3,3,2,0,0.0,39,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
614 Family,19,49.6598580640513,48.88432580424367,47.22792607802874,54.26967830253251,1971.0,1978.0,1975.6842105263158,1974.0,1981.0,1975.4666666666667,,5,5,3,0,0.0,0,0.0,0,0.0,0,0.0,19,1.0,0,0.0,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0
707 Family,1010,58.627781053259326,59.33333333333333,34.35181382614648,67.83299110198494,1957.0,1991.0,1966.6950495049505,1955.0,1990.0,1965.1049504950495,1988.0,307,300,83,0,0.0,0,0.0,0,0.0,0,0.0,1010,1.0,0,0.0,1010,1.0,0.9574257425742574,0.04257425742574258,0.039603960396039604,0.0,0.41485148514851483,0.37623762376237624
717 Family,156,23.73291914565015,24.21902806297057,19.4715947980835,27.13210130047912,1998.0,2006.0,2001.5641025641025,1995.0,2004.0,1998.5354838709677,2016.0,8,7,3,0,0.0,0,0.0,7,0.04487179487179487,149,0.9551282051282052,0,0.0,116,0.7435897435897436,40,0.2564102564102564,0.9935897435897436,0.00641025641025641,0.00641025641025641,0.0,0.0,0.9615384615384616
