PN,ADI,CV²,Classification,Mean_Demand,Std_Demand,Periods_with_Demand,Total_Periods
2215364501,0.9333,35.25,Erratic,0.07,0.41,2,58
56H442,1.0,35.25,Erratic,0.07,0.41,2,58
22156283,1.0137,0.7078,Erratic,20.03,16.86,57,58
30210,1.014,1.6003,Erratic,10.03,12.69,58,58
4205401,1.014,0.6533,Erratic,27.88,22.53,58,58
1982660116,1.014,1.0857,Erratic,15.19,15.83,58,58
066012120102,1.014,0.591,Erratic,19.29,14.83,58,58
066500080409,1.014,0.548,Erratic,24.83,18.38,58,58
100370750,1.014,0.5106,Erratic,18.02,12.87,58,58
115195219,1.014,1.2526,Erratic,16.14,18.06,58,58
11519681,1.014,0.9842,Erratic,13.57,13.46,58,58
1263A000003,1.014,0.5644,Erratic,25.52,19.17,58,58
1296943,1.014,1.1047,Erratic,14.03,14.75,58,58
1320A000002,1.014,0.6812,Erratic,18.21,15.03,58,58
1386M56P03,1.014,0.5496,Erratic,14.22,10.55,58,58
141T400422,1.014,2.3713,Erratic,11.31,17.42,58,58
14403003C,1.014,0.8237,Erratic,18.03,16.37,58,58
144955000702,1.014,0.7047,Erratic,16.03,13.46,58,58
1519M89P31,1.014,1.0502,Erratic,14.09,14.44,58,58
1539M12P02,1.014,0.5271,Erratic,7.29,5.29,58,58
154EW2,1.014,1.1912,Erratic,14.71,16.05,58,58
1605642,1.014,0.569,Erratic,24.09,18.17,58,58
1700667D,1.014,0.5317,Erratic,19.86,14.48,58,58
1864M90P04,1.014,0.7941,Erratic,14.84,13.23,58,58
2079102AB,1.014,1.3227,Erratic,12.45,14.32,58,58
2079113AC,1.014,1.3908,Erratic,11.83,13.95,58,58
2118966222,1.014,1.1993,Erratic,13.69,14.99,58,58
2123M56P04,1.014,1.3277,Erratic,12.34,14.22,58,58
21684,1.014,0.6626,Erratic,28.62,23.3,58,58
23418303,1.014,1.2652,Erratic,11.02,12.39,58,58
23419262,1.014,0.7741,Erratic,18.09,15.91,58,58
251A12403,1.014,0.548,Erratic,18.67,13.82,58,58
27045064,1.014,0.4905,Erratic,33.36,23.36,58,58
276802,1.014,0.5538,Erratic,23.21,17.27,58,58
31077211,1.014,0.8994,Erratic,14.69,13.93,58,58
315A28001,1.014,0.6839,Erratic,16.74,13.84,58,58
326879210,1.014,0.518,Erratic,20.93,15.07,58,58
350558265,1.014,0.7642,Erratic,20.03,17.51,58,58
350594510,1.014,0.5926,Erratic,23.47,18.06,58,58
350E5500206,1.014,0.6802,Erratic,13.52,11.15,58,58
3522W000002,1.014,0.732,Erratic,16.52,14.13,58,58
35E385,1.014,0.9499,Erratic,12.26,11.95,58,58
3732A010000,1.014,0.756,Erratic,17.98,15.64,58,58
38762231,1.014,0.9874,Erratic,12.55,12.47,58,58
3966081,1.014,0.5004,Erratic,32.76,23.17,58,58
401MFD33,1.014,0.9254,Erratic,11.45,11.01,58,58
4052506955,1.014,0.5667,Erratic,16.12,12.14,58,58
4063160823,1.014,0.5396,Erratic,22.57,16.58,58,58
4091900942,1.014,0.5815,Erratic,17.5,13.34,58,58
41310203,1.014,0.5394,Erratic,23.69,17.4,58,58
41310204,1.014,0.4922,Erratic,30.22,21.21,58,58
