Part_Number,Dataset,Count,LGB_Winkler_80CI_Mean,LGB_Winkler_80CI_Std,LGB_PICP_80CI,LGB_Winkler_50CI_Mean,LGB_Winkler_50CI_Std,LGB_PICP_50CI,LGB_Q10,LGB_Q90,LGB_Median_Q10_Q90,LGB_Q25,LGB_Q75,LGB_Median_Q25_Q75,LGB_MAE_Mean,LGB_MAE_Std,TF_Winkler_80CI_Mean,TF_Winkler_80CI_Std,TF_PICP_80CI,TF_Winkler_50CI_Mean,TF_Winkler_50CI_Std,TF_PICP_50CI,TF_Q10,TF_Q90,TF_Median_Q10_Q90,TF_Q25,TF_Q75,TF_Median_Q25_Q75,TF_MAE_Mean,TF_MAE_Std,LGB_PICP_80CI_Pct,LGB_PICP_50CI_Pct,TF_PICP_80CI_Pct,TF_PICP_50CI_Pct
019-012-001,Test,3,10.241007875977227,0.3274211175063073,0.6666666666666666,6.1840027392892045,1.2866046081879767,0.6666666666666666,3.11640726103862,13.203457641731665,10.121527965830708,4.997198430012454,10.356296819740942,5.475944529371884,3.623869184709743,3.4484686389894206,10.972703297932943,0.3992999649613174,0.6666666666666666,6.147343476613362,0.8307809173302094,0.6666666666666666,4.227214,15.149735,10.724762,6.2355123,11.695316,5.362094,3.3231719334920253,2.7151654774014995,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666
019-012-001,Validation,3,9.491700341820998,0.8663059390640664,1.0,5.37364433749039,0.38343650075350805,1.0,3.302876698372645,12.794577040193644,9.88945332841255,5.057224325989661,10.43086866348005,5.363583408558209,1.5667608004874551,0.6999788432591664,9.345298449198404,0.39345020007259984,1.0,4.814761797587077,0.22987951179411828,0.6666666666666666,2.9088871,12.254186,9.269037,4.5580373,9.235289,4.6299715,1.8058730761210127,1.0723856259541018,100.0,100.0,100.0,66.66666666666666
024147-000,Test,3,19.019380670737196,1.2965814525901038,0.6666666666666666,11.848559226735057,0.8151356508082733,0.3333333333333333,18.731756494209915,37.489375841443824,19.317809537524315,21.309314836014778,31.349662581727415,9.262324299953235,8.046593935620885,3.188978694591183,21.32541249593099,1.6222029384094412,0.6666666666666666,12.608369827270508,2.408107855097983,0.3333333333333333,18.125544,39.061996,21.533339,22.63569,32.8505,10.454515,9.120625178019209,5.55930610680048,66.66666666666666,33.33333333333333,66.66666666666666,33.33333333333333
024147-000,Validation,3,20.961379446990815,1.0024332923556916,1.0,11.954600458590972,1.2374015380849297,0.6666666666666666,20.461531110438653,41.42291055742947,21.340379941119227,22.556124909962318,34.22216430280862,10.949833668838174,3.1728115068393534,2.2835455744930635,19.735638936360676,0.44563074673693553,1.0,10.388638814290365,0.49685087269092304,0.3333333333333333,17.130646,36.866283,19.847797,21.43307,31.05076,9.64341,5.007766723632816,2.9660427954209725,100.0,66.66666666666666,100.0,33.33333333333333
066-01212-0102,Test,3,10.858780426022207,0.6555115153740304,1.0,6.551615492094616,0.41956277416883536,0.3333333333333333,7.605503110956945,18.464283536979153,10.418783952227109,9.581079474843394,15.950609356870649,6.236499741497644,2.921977680983698,0.7309893597389897,14.204248364766437,0.45412817414945783,0.6666666666666666,7.92093292872111,0.9102835234824384,0.3333333333333333,8.100986,22.272453,14.343759,10.969621,18.080284,7.2173395,4.570176442464191,2.315185291785158,100.0,33.33333333333333,66.66666666666666,33.33333333333333
066-01212-0102,Validation,3,11.415019170721914,0.11177442728488919,1.0,7.013964940334961,0.3331389052427609,0.6666666666666666,7.440249565354161,18.855268736076077,11.412644146887747,9.681243458669174,16.29855295852519,6.699209148067151,2.7703768901253287,2.468353923350986,12.462372779846191,0.30595693675036134,1.0,6.707910855611165,0.8076061479367903,0.6666666666666666,5.857304,18.319677,12.374354,8.241479,14.481288,6.1837206,3.367012341817219,2.0529216737128557,100.0,66.66666666666666,100.0,66.66666666666666
066-50007-0432,Test,3,9.947061175776206,0.4001174674434421,1.0,5.899856482367767,1.1558632093746937,0.6666666666666666,5.364946143707172,15.312007319483378,9.78992046669802,7.150907121362814,12.656520836270296,5.320362479006832,2.2207391585628096,2.391075364755435,12.785598436991373,0.41058412472448486,1.0,6.858414014180501,0.4395109355135024,0.3333333333333333,6.3162193,19.10182,12.595896,8.798885,15.193764,6.2981052,3.9752171834309884,0.9073306724558513,100.0,66.66666666666666,100.0,33.33333333333333
066-50007-0432,Validation,3,10.270470284581238,0.8784637143983836,1.0,5.635534986382974,0.5688944118771067,0.3333333333333333,5.329100133607117,15.599570418188355,10.78787472085021,7.46445691855497,12.923905023326826,5.613691468774459,2.5458858755254004,1.653315317190119,11.44890276590983,0.32017389772078414,1.0,5.696817080179851,0.15910073859698246,1.0,4.8742127,16.323114,11.235627,7.0190125,12.715831,5.594496,1.5451027552286796,0.7955879340098649,100.0,33.33333333333333,100.0,100.0
066-50008-0406,Test,3,14.563435118101083,0.3075066958478384,1.0,8.46496777594368,0.3979232578698179,0.3333333333333333,12.78525622943358,27.348691347534665,14.736177418599498,15.393269197746754,23.37477858857908,7.929352118703562,3.974656043769894,2.2052991086479445,16.116319974263508,0.9125520845436198,1.0,8.432145754496256,0.6008289178477446,0.6666666666666666,11.037517,27.153837,15.731465,14.373488,22.4041,7.8520594,4.338084538777671,1.334516159069676,100.0,33.33333333333333,100.0,66.66666666666666
066-50008-0406,Validation,3,15.462366457572344,0.2609751253598221,0.6666666666666666,8.800899561527894,1.8627168052242373,0.3333333333333333,14.128777526365846,29.21948239013912,15.10165527194305,16.438940783312788,23.855644150885883,7.6116344549915205,5.714231356874081,4.324107855544599,15.681276448567708,0.2417748298708271,0.6666666666666666,8.569538275400797,1.0198773035520476,0.6666666666666666,10.2660475,25.83528,15.460016,13.474396,21.243736,7.7378445,4.929845809936523,2.714220588207484,66.66666666666666,33.33333333333333,66.66666666666666,66.66666666666666
