method,d_model,nhead,num_layers,lr,dropout,val_mae
Grid Search,64,4,2,0.01,0.1,4.017478936611894
Grid Search,64,4,2,0.01,0.2,4.058126375233264
Grid Search,64,4,2,0.001,0.1,3.918406121770636
Grid Search,64,4,2,0.001,0.2,3.918442754586158
Grid Search,64,4,3,0.01,0.1,4.381993181475971
Grid Search,64,4,3,0.01,0.2,7.021700514719044
Grid Search,64,4,3,0.001,0.1,3.964666818377511
Grid Search,64,4,3,0.001,0.2,3.8909620730385672
Grid Search,64,4,4,0.01,0.1,7.18389531061966
Grid Search,64,4,4,0.01,0.2,7.009282256272831
Grid Search,64,4,4,0.001,0.1,3.900200248238769
Grid Search,64,4,4,0.001,0.2,3.964694528230714
Grid Search,64,8,2,0.01,0.1,3.9779197287730215
Grid Search,64,8,2,0.01,0.2,4.0685073566891985
Grid Search,64,8,2,0.001,0.1,3.8518843779795304
Grid Search,64,8,2,0.001,0.2,3.9084182278732507
Grid Search,64,8,3,0.01,0.1,7.1882869315318105
Grid Search,64,8,3,0.01,0.2,6.4641331262596085
Grid Search,64,8,3,0.001,0.1,3.863896419438656
Grid Search,64,8,3,0.001,0.2,3.9656245578539777
Grid Search,64,8,4,0.01,0.1,7.208726791132985
Grid Search,64,8,4,0.01,0.2,7.188455505795961
Grid Search,64,8,4,0.001,0.1,3.8991991934931836
Grid Search,64,8,4,0.001,0.2,3.907836250397736
Grid Search,128,4,2,0.01,0.1,5.447495313703587
Grid Search,128,4,2,0.01,0.2,5.166264384913843
Grid Search,128,4,2,0.001,0.1,3.8835661022456374
Grid Search,128,4,2,0.001,0.2,3.9519660895839985
Grid Search,128,4,3,0.01,0.1,7.212152159394209
Grid Search,128,4,3,0.01,0.2,7.199009137392613
Grid Search,128,4,3,0.001,0.1,3.9251227014673638
Grid Search,128,4,3,0.001,0.2,3.8963168300895723
Grid Search,128,4,4,0.01,0.1,7.204106758773184
Grid Search,128,4,4,0.01,0.2,7.186923198502692
Grid Search,128,4,4,0.001,0.1,3.9567686248223937
Grid Search,128,4,4,0.001,0.2,3.83958982245355
Grid Search,128,8,2,0.01,0.1,4.189747287056801
Grid Search,128,8,2,0.01,0.2,4.495267112385971
Grid Search,128,8,2,0.001,0.1,3.852480421013176
Grid Search,128,8,2,0.001,0.2,3.8672079029022557
Grid Search,128,8,3,0.01,0.1,7.184401360407839
Grid Search,128,8,3,0.01,0.2,7.185971115919552
Grid Search,128,8,3,0.001,0.1,3.9278757158687596
Grid Search,128,8,3,0.001,0.2,3.9145262011859563
Grid Search,128,8,4,0.01,0.1,7.250400130485104
Grid Search,128,8,4,0.01,0.2,7.184322673551792
Grid Search,128,8,4,0.001,0.1,3.9282505536895
Grid Search,128,8,4,0.001,0.2,3.8840447329488557
Grid Search,256,4,2,0.01,0.1,5.25716875674901
Grid Search,256,4,2,0.01,0.2,4.142998590863879
Grid Search,256,4,2,0.001,0.1,3.840936368860322
Grid Search,256,4,2,0.001,0.2,3.915812794708883
Grid Search,256,4,3,0.01,0.1,7.202174487906785
Grid Search,256,4,3,0.01,0.2,7.186828350774238
Grid Search,256,4,3,0.001,0.1,3.983386836928229
Grid Search,256,4,3,0.001,0.2,3.895115105045534
Grid Search,256,4,4,0.01,0.1,7.184834089559891
Grid Search,256,4,4,0.01,0.2,7.190692051118958
Grid Search,256,4,4,0.001,0.1,3.963749999931718
Grid Search,256,4,4,0.001,0.2,3.9607265943938432
Grid Search,256,8,2,0.01,0.1,4.889030826404726
Grid Search,256,8,2,0.01,0.2,4.729258287683212
Grid Search,256,8,2,0.001,0.1,3.842381225660289
Grid Search,256,8,2,0.001,0.2,3.884374753008215
Grid Search,256,8,3,0.01,0.1,7.2034362794486135
Grid Search,256,8,3,0.01,0.2,7.182331012370763
Grid Search,256,8,3,0.001,0.1,3.898742994621052
Grid Search,256,8,3,0.001,0.2,3.8833939947585026
Grid Search,256,8,4,0.01,0.1,7.184506533917872
Grid Search,256,8,4,0.01,0.2,7.114219669320797
Grid Search,256,8,4,0.001,0.1,3.895610098243234
Grid Search,256,8,4,0.001,0.2,3.9217560520794246
Optuna,128,4,2,0.001,0.3,3.9789027900286107
Optuna,64,8,3,0.0005,0.3,3.881858095254041
Optuna,128,8,2,0.01,0.2,6.5504208673251085
Optuna,256,4,3,0.001,0.1,3.890198470110351
Optuna,256,8,4,0.001,0.3,3.8603148735413595
Optuna,256,4,3,0.001,0.1,3.986713397095103
Optuna,128,8,2,0.0005,0.1,3.8119938861024503
Optuna,256,8,3,0.0005,0.2,3.907137619282579
Optuna,64,4,3,0.0005,0.3,3.8952833513655922
Optuna,256,8,4,0.001,0.2,3.9780085523069713
Optuna,128,8,2,0.01,0.1,4.17625574925255
Optuna,128,8,4,0.0005,0.1,3.8297828190271686
Optuna,128,8,4,0.0005,0.1,3.875943905413862
Optuna,128,8,2,0.0005,0.1,3.8751005405647563
Optuna,128,8,4,0.0005,0.1,3.871835320358155
Optuna,128,8,2,0.0005,0.1,3.933728983028597
Optuna,64,8,4,0.01,0.1,7.225896687382446
Optuna,128,8,3,0.0005,0.1,3.8852988029152224
Optuna,128,4,4,0.0005,0.1,3.8620411881209367
Optuna,128,8,2,0.0005,0.2,3.847485205248982
Optuna,64,8,3,0.01,0.1,7.183112818946323
Optuna,128,8,2,0.0005,0.2,3.8919745056801784
Optuna,128,8,2,0.0005,0.2,3.8474790579568987
Optuna,128,8,2,0.0005,0.2,3.874228917708355
Optuna,128,8,2,0.0005,0.2,3.8958063074398726
Optuna,128,8,3,0.0005,0.2,3.9358757687828896
Optuna,128,4,2,0.0005,0.1,3.8685420835976005
Optuna,128,8,2,0.0005,0.1,3.8599714062568586
Optuna,64,8,3,0.0005,0.3,3.857829375217714
Optuna,128,4,2,0.01,0.2,4.647501637087801
Optuna,128,8,4,0.001,0.3,3.9243687925209767
Optuna,128,8,2,0.0005,0.2,3.890042823557827
Optuna,128,8,2,0.0005,0.2,3.867367892200831
Optuna,128,8,2,0.0005,0.2,3.860543537822714
Optuna,128,8,2,0.0005,0.2,3.858489445304719
Optuna,128,8,2,0.0005,0.2,3.8480840984942333
Optuna,256,8,2,0.001,0.3,3.8932325724295995
Optuna,64,4,3,0.0005,0.1,3.8839948725491737
Optuna,128,8,3,0.01,0.2,7.184688502867827
Optuna,256,8,2,0.0005,0.2,3.896322941912861
Optuna,128,4,3,0.001,0.3,3.9245666492146545
Optuna,128,8,2,0.0005,0.2,3.897422503742227
Optuna,128,8,2,0.0005,0.2,3.8428967152688838
Optuna,128,8,2,0.0005,0.2,3.8593080451589024
Optuna,128,8,2,0.0005,0.2,3.8972620899561576
Optuna,256,8,2,0.0005,0.1,3.903453492701006
Optuna,128,8,2,0.0005,0.2,3.861407749977203
