Dataset,Quantile,Pinball Loss,Calibration,Empirical CDF,Mean Prediction,Median Prediction,Std Prediction
Test,q10,0.7814609867386526,0.08035003977724742,0.08035003977724742,7.927290983492169,6.965260982513428,5.271453905346144
Test,q25,1.4638889833585365,0.2760540970564837,0.2760540970564837,11.323695676707993,10.221747398376465,6.71006348393545
Test,q50,1.9501783035061335,0.5338106603023071,0.5338106603023071,14.146582206469636,13.106552124023438,7.45773095943993
Test,q75,1.7202450135632366,0.8408910103420844,0.8408910103420844,19.14958574246488,18.03404998779297,9.170740617266613
Test,q90,1.0608671961839744,0.9578361177406524,0.9578361177406524,23.679527078247677,21.999736785888672,10.925465142739906
Train,q10,0.7328088606652766,0.060211387657688374,0.060211387657688374,6.933433173262422,5.4853596687316895,6.113540550989112
Train,q25,1.3691491249630177,0.2217524718718036,0.2217524718718036,9.895471369198397,8.283023834228516,7.736478157405723
Train,q50,1.8467330481324877,0.4550289805659734,0.4550289805659734,12.489896550322408,10.966296195983887,8.650951743999824
Train,q75,1.5774125188233459,0.7772246846232527,0.7772246846232527,17.010099214536925,15.46803092956543,10.683982300894352
Train,q90,0.955696995252641,0.9346062052505967,0.9346062052505967,21.383811258513735,19.287748336791992,12.901689089048244
Validation,q10,0.790710358553312,0.059665871121718374,0.059665871121718374,7.057914246760928,6.135396957397461,4.993299813915682
Validation,q25,1.44827420484977,0.21320604614160701,0.21320604614160701,10.232492483292862,9.152667045593262,6.438309372945063
Validation,q50,1.968062059407018,0.43595863166268894,0.43595863166268894,12.885466135202558,11.945019721984863,7.194306886099499
Validation,q75,1.6298842722210698,0.7637231503579952,0.7637231503579952,17.5117599643595,16.5983943939209,8.827189925030186
Validation,q90,0.9554760606305979,0.9260143198090692,0.9260143198090692,21.791380008630746,20.45884895324707,10.56107316629676
